{'train_risk': 0.10790002346038818, 'expected_risk': 0.15049999952316284, 'generalization': 0.04259997606277466, 'test_risk': 0.1568740478558491, 'train_unique_risk': 0.10893857479095459}
{'train_risk': 0.08209997415542603, 'expected_risk': 0.13270002603530884, 'generalization': 0.05060005187988281, 'test_risk': 0.1399802516460733, 'train_unique_risk': 0.08530044555664062}
{'train_risk': 0.147599995136261, 'expected_risk': 0.17764288187026978, 'generalization': 0.03004288673400879, 'test_risk': 0.18218059643493592, 'train_unique_risk': 0.14799267053604126}
{'train_risk': 0.11250001192092896, 'expected_risk': 0.15612858533859253, 'generalization': 0.043628573417663574, 'test_risk': 0.1624944541979607, 'train_unique_risk': 0.11468726396560669}
{'train_risk': 0.06959998607635498, 'expected_risk': 0.1266571283340454, 'generalization': 0.05705714225769043, 'test_risk': 0.13521129545653324, 'train_unique_risk': 0.0710458755493164}
{'train_risk': 0.06989997625350952, 'expected_risk': 0.11882859468460083, 'generalization': 0.04892861843109131, 'test_risk': 0.1260817500618937, 'train_unique_risk': 0.07168114185333252}
{'train_risk': 0.08960002660751343, 'expected_risk': 0.1378999948501587, 'generalization': 0.048299968242645264, 'test_risk': 0.14512990537340048, 'train_unique_risk': 0.09096747636795044}
{'train_risk': 0.12070000171661377, 'expected_risk': 0.1680999994277954, 'generalization': 0.04739999771118164, 'test_risk': 0.17516191440141657, 'train_unique_risk': 0.1221160888671875}
{'train_risk': 0.15560001134872437, 'expected_risk': 0.19184285402297974, 'generalization': 0.03624284267425537, 'test_risk': 0.19726153731324525, 'train_unique_risk': 0.1565151810646057}
{'train_risk': 0.06410002708435059, 'expected_risk': 0.11559998989105225, 'generalization': 0.05149996280670166, 'test_risk': 0.12317931963193315, 'train_unique_risk': 0.06617963314056396}
{'train_risk': 0.06370002031326294, 'expected_risk': 0.1200714111328125, 'generalization': 0.05637139081954956, 'test_risk': 0.12843279165953825, 'train_unique_risk': 0.06549090147018433}
{'train_risk': 0.07590001821517944, 'expected_risk': 0.12389999628067017, 'generalization': 0.04799997806549072, 'test_risk': 0.1310583574914162, 'train_unique_risk': 0.07740896940231323}
{'train_risk': 0.05820000171661377, 'expected_risk': 0.11438572406768799, 'generalization': 0.05618572235107422, 'test_risk': 0.12281107755830088, 'train_unique_risk': 0.05937397480010986}
{'train_risk': 0.07639998197555542, 'expected_risk': 0.12597143650054932, 'generalization': 0.049571454524993896, 'test_risk': 0.13332016457327095, 'train_unique_risk': 0.0779416561126709}
{'train_risk': 0.08829998970031738, 'expected_risk': 0.13531428575515747, 'generalization': 0.04701429605484009, 'test_risk': 0.14235344258596677, 'train_unique_risk': 0.08940470218658447}
{'train_risk': 0.09920001029968262, 'expected_risk': 0.14622855186462402, 'generalization': 0.047028541564941406, 'test_risk': 0.1529779800503344, 'train_unique_risk': 0.1022031307220459}
{'train_risk': 0.09789997339248657, 'expected_risk': 0.14545714855194092, 'generalization': 0.047557175159454346, 'test_risk': 0.1526347961038857, 'train_unique_risk': 0.09856879711151123}
{'train_risk': 0.054300010204315186, 'expected_risk': 0.10897141695022583, 'generalization': 0.054671406745910645, 'test_risk': 0.11707524731961481, 'train_unique_risk': 0.05610489845275879}
{'train_risk': 0.08410000801086426, 'expected_risk': 0.13537144660949707, 'generalization': 0.05127143859863281, 'test_risk': 0.14308079772007645, 'train_unique_risk': 0.0851406455039978}
